,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
793,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,London,Gymnastics,Gymnastics Men's Rings,0,0,0
801,Bukola Dammy Abogunloko,F,17.0,170.0,53.0,Nigeria,NGR,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
859,Rabah Aboud,M,31.0,180.0,64.0,Algeria,ALG,London,Athletics,"Athletics Men's 5,000 metres",0,0,0
861,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,EGY,London,Fencing,"Fencing Men's Foil, Individual",0,0,1
862,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,Egypt,EGY,London,Fencing,"Fencing Men's Foil, Team",0,0,0
871,Mohamed Mohamed Mohamed Aboutrika,M,33.0,182.0,77.0,Egypt,EGY,London,Football,Football Men's Football,0,0,0
990,Arnaldo Lus Isaas Abrantes,M,25.0,183.0,72.0,Portugal,POR,London,Athletics,Athletics Men's 200 metres,0,0,0
994,Amir Abrashi,M,22.0,172.0,70.0,Switzerland,SUI,London,Football,Football Men's Football,0,0,0
1026,rika Abril Surez,F,34.0,164.0,52.0,Colombia,COL,London,Athletics,Athletics Women's Marathon,0,0,0
1028,Laura Valentina Abril Restrepo,F,22.0,162.0,50.0,Colombia,COL,London,Cycling,"Cycling Women's Mountainbike, Cross-Country",0,0,0
1046,Julien Absalon,M,31.0,180.0,68.0,France,FRA,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",0,0,0
1048,Ayele Abshero Biza,M,21.0,168.0,62.0,Ethiopia,ETH,London,Athletics,Athletics Men's Marathon,0,0,0
1059,Methkal Marouf Abu Drais,M,28.0,168.0,67.0,Jordan,JOR,London,Athletics,Athletics Men's Marathon,0,0,0
1064,Maher Abu Rmilah,M,28.0,172.0,72.0,Palestine,PLE,London,Judo,Judo Men's Lightweight,0,0,0
1095,Mohammad Abulibdeh,M,28.0,183.0,68.0,Jordan,JOR,London,Taekwondo,Taekwondo Men's Featherweight,0,0,0
1108,Kanat Kalizhanovich Abutalipov,M,29.0,168.0,56.0,Kazakhstan,KAZ,London,Boxing,Boxing Men's Bantamweight,0,0,0
1112,Irina Alekseyevna Abysova,F,31.0,175.0,56.0,Russia,RUS,London,Triathlon,Triathlon Women's Olympic Distance,0,0,0
1126,William Accambray,M,24.0,194.0,104.0,France,FRA,London,Handball,Handball Men's Handball,0,1,0
1153,Raidel Acea Morales,M,21.0,,,Cuba,CUB,London,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,0
1182,Loreto Achaerandio Snchez-Marn,F,20.0,164.0,50.0,Spain,ESP,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,0,0,0
1186,Kieron Robert Achara,M,29.0,208.0,110.0,Great Britain,GBR,London,Basketball,Basketball Men's Basketball,0,0,0
1211,Janet Achola,F,24.0,167.0,52.0,Uganda,UGA,London,Athletics,"Athletics Women's 1,500 metres",0,0,0
1214,Natalie Chioma Achonwa,F,19.0,190.0,86.0,Canada,CAN,London,Basketball,Basketball Women's Basketball,0,0,0
1218,Dallal Merwa Achour,F,17.0,176.0,45.0,Algeria,ALG,London,Volleyball,Volleyball Women's Volleyball,0,0,0
